Date	Price	Open	High	Low	Vol.	Change %
12-04-25	6.192	6.1881	6.216	6.169		-0.05%
12-03-25	6.1951	6.1939	6.2163	6.1784		0.04%
12-02-25	6.1928	6.2204	6.2322	6.1799		-0.43%
12-01-25	6.2196	6.1885	6.2343	6.1848		0.50%
11/28/2025	6.1885	6.2113	6.215	6.1621		-0.37%
11/27/2025	6.2113	6.1831	6.2137	6.1728		0.45%
11/26/2025	6.1832	6.2266	6.2421	6.1797		-0.70%
11/25/2025	6.2266	6.2082	6.2648	6.1878		0.30%
11/24/2025	6.2082	6.2205	6.2421	6.204		-0.20%
11/21/2025	6.2205	6.1485	6.2528	6.1331		1.17%
11/20/2025	6.1485	6.1502	6.1573	6.1342		-0.04%
11/19/2025	6.1507	6.1636	6.189	6.1416		-0.21%
11/18/2025	6.1636	6.1778	6.2006	6.1561		-0.23%
11/17/2025	6.1776	6.1551	6.1832	6.1401		0.37%
11/14/2025	6.1551	6.1634	6.1882	6.122		-0.13%
11/13/2025	6.1634	6.1362	6.1747	6.1271		0.44%
11-12-25	6.1364	6.1062	6.149	6.0951		0.49%
11-11-25	6.1062	6.1152	6.1319	6.1035		-0.15%
11-10-25	6.1152	6.1674	6.177	6.1137		-0.85%
11-07-25	6.1674	6.1781	6.2087	6.164		-0.17%
11-06-25	6.1781	6.1596	6.1895	6.1475		0.30%
11-05-25	6.1599	6.1978	6.2104	6.1441		-0.61%
11-04-25	6.1978	6.1713	6.2036	6.1539		0.43%
11-03-25	6.1715	6.201	6.2042	6.1529		-0.45%
10/31/2025	6.1997	6.2237	6.2362	6.1759		-0.39%
10/30/2025	6.2237	6.2191	6.2392	6.2118		0.07%
10/29/2025	6.2193	6.2435	6.2488	6.2067		-0.38%
10/28/2025	6.2433	6.2589	6.2788	6.2414		-0.22%
10/27/2025	6.2573	6.2669	6.281	6.2417		-0.14%
10/24/2025	6.2661	6.2534	6.2754	6.2335		0.20%
10/23/2025	6.2536	6.2704	6.2763	6.2393		-0.26%
10/22/2025	6.2702	6.2502	6.2907	6.2274		0.32%
10/21/2025	6.2499	6.2576	6.2765	6.2353		-0.12%
10/20/2025	6.2571	6.297	6.3104	6.2502		-0.71%
10/17/2025	6.3018	6.365	6.3865	6.3012		-0.99%
10/16/2025	6.365	6.3538	6.3797	6.3261		0.17%
10/15/2025	6.3539	6.3629	6.3861	6.3135		-0.15%
10/14/2025	6.3632	6.3238	6.3913	6.3086		0.63%
10/13/2025	6.3233	6.4234	6.4289	6.2968		-1.45%
10-10-25	6.4165	6.209	6.4203	6.2001		3.34%
10-09-25	6.2093	6.2127	6.2246	6.1799		-0.06%
10-08-25	6.2128	6.2377	6.246	6.1998		-0.40%
10-07-25	6.2378	6.2231	6.2476	6.191		0.26%
10-06-25	6.2218	6.2674	6.2674	6.2132		-0.73%
10-03-25	6.2676	6.2544	6.2953	6.2491		0.21%
10-02-25	6.2547	6.2517	6.285	6.2372		0.05%
10-01-25	6.2513	6.2455	6.2664	6.2178		0.09%
09/30/2025	6.2458	6.2409	6.2624	6.2253		0.08%
09/29/2025	6.2409	6.2607	6.2781	6.2282		-0.19%
09/26/2025	6.2525	6.2578	6.2705	6.2373		-0.08%
09/25/2025	6.2578	6.2601	6.2668	6.2241		-0.04%
09/24/2025	6.2601	6.2415	6.2604	6.2048		0.29%
09/23/2025	6.2419	6.297	6.3068	6.2264		-0.88%
09/22/2025	6.2974	6.2586	6.3138	6.2482		0.71%
09/19/2025	6.2531	6.2622	6.2688	6.2288		-0.17%
09/18/2025	6.2636	6.2676	6.2923	6.225		-0.07%
09/17/2025	6.2679	6.286	6.298	6.258		-0.30%
09/16/2025	6.2865	6.2537	6.2982	6.251		0.53%
